name,xmin,ymin,xmax,ymax
24A_1From_YY,204,1496,242,1521
24A_1To_MM,269,1498,291,1516
24A_1To_DD,325,1495,354,1515
24A_1To_YY,378,1492,417,1519
24A_2,84,1526,167,1548
24A_2From_MM,96,1559,126,1581
24A_2From_DD,152,1559,177,1583
24A_2From_YY,206,1559,234,1585
24A_2To_MM,265,1559,299,1584
24A_2To_DD,323,1558,352,1586
24A_2To_YY,378,1558,416,1584
24A_3,89,1592,140,1616
24A_3From_MM,99,1622,127,1646
24A_3From_DD,147,1624,182,1647
24A_3From_YY,208,1624,236,1651
24A_3To_MM,271,1619,300,1654
24A_3To_DD,324,1623,349,1647
24A_3To_YY,384,1623,415,1646
24A_4,83,1655,147,1681
24A_4From_MM,99,1687,124,1712
24A_4From_DD,153,1686,178,1709
24A_4From_YY,200,1689,221,1713
24A_4To_MM,264,1686,289,1712
24A_4To_DD,325,1682,349,1707
24A_4To_YY,382,1689,415,1709
24A_5,89,1719,128,1739
24A_5From_MM,99,1748,131,1772
24A_5From_DD,149,1752,177,1773
24A_5From_YY,211,1752,234,1776
24A_5To_MM,264,1753,295,1776
24A_5To_DD,324,1753,354,1772
24A_5To_YY,386,1752,413,1776
24A_6,92,1784,133,1805
24A_6From_MM,97,1812,125,1843
24A_6From_DD,153,1816,176,1834
24A_6From_YY,205,1819,242,1840
24A_6To_MM,272,1817,294,1841
24A_6To_DD,323,1820,353,1839
24A_6To_YY,385,1817,412,1841
24B_1,435,1492,480,1518
24B_2,440,1560,475,1583
24B_3,440,1620,475,1643
24B_4,442,1689,476,1712
24B_5,445,1753,473,1776
24B_6,440,1816,475,1842
24C_1,500,1494,536,1519
24C_2,496,1557,534,1580
24C_3,495,1620,537,1642
24C_4,496,1687,532,1708
24C_5,503,1752,532,1772
24C_6,506,1817,528,1837
24D_1_CPT/HCPC,588,1495,647,1515
24D_2_CPT/HCPC,592,1557,639,1583
24D_3_CPT/HCPC,596,1621,636,1642
24D_4_CPT/HCPC,584,1683,653,1713
24D_5_CPT/HCPC,592,1748,637,1773
24D_6_CPT/HCPC,602,1812,633,1840
24D_1_Modifier,707,1489,917,1518
24D_2_Modifier,695,1557,918,1582
24D_3_Modifier,704,1620,915,1644
24D_4_Modifier,698,1684,912,1712
24D_5_Modifier,700,1749,922,1774
24D_6_Modifier,703,1812,920,1837
24E_1,953,1492,1000,1516
24E_2,963,1558,992,1584
24E_3,965,1619,993,1642
24E_4,966,1687,987,1704
24E_5,959,1748,997,1773
24E_6,964,1815,998,1835
24F_1,1086,1491,1185,1515
24F_2,1069,1551,1180,1581
24F_3,1099,1618,1185,1643
24F_4,1084,1679,1185,1711
24F_5,1074,1740,1184,1777
24F_6,1125,1809,1191,1834
24G_1,1227,1493,1239,1514
24G_2,1227,1559,1241,1578
24G_3,1225,1621,1242,1640
24G_4,1215,1686,1248,1704
24G_5,1226,1748,1245,1772
24G_6,1224,1813,1245,1832
24H_1a,1288,1459,1299,1479
24H_1,1284,1491,1306,1513
24H_2a,1287,1523,1298,1547
24H_2,1285,1557,1300,1577
24H_3a,1286,1587,1298,1605
24H_3,1285,1620,1300,1640
24H_4a,1284,1655,1295,1676
24H_4,1287,1684,1301,1701
24H_5a,1282,1716,1302,1734
24H_5,1284,1752,1307,1767
24H_6a,1286,1779,1304,1798
24H_6,1279,1812,1305,1832
24I_1,1329,1460,1353,1488
24I_2,1329,1523,1352,1540
24I_3,1327,1591,1353,1609
24I_4,1327,1649,1351,1674
24I_5,1335,1717,1347,1734
24I_6,1326,1780,1357,1799
24J_1a,1378,1460,1460,1482
24J_1,1382,1495,1431,1513
24J_2a,1385,1523,1443,1545
24J_2,1383,1558,1428,1575
24J_3a,1385,1589,1479,1607
24J_3,1383,1621,1488,1639
24J_4a,1385,1655,1405,1668
24J_4,1383,1686,1458,1702
24J_5a,1379,1718,1439,1736
24J_5,1385,1749,1539,1767
24J_6a,1386,1778,1482,1801
24J_6,1386,1815,1499,1834
25_IDNumber,95,1869,292,1898
25_SSN,400,1874,423,1899
26_PtAcctNum,514,1866,711,1894
27_AcceptAssignment_N,901,1875,927,1902
28_TotalCharge,1085,1868,1226,1896
29_AmountPaid,1300,1865,1423,1894
33_BillingProviderInfo,1032,1905,1522,2019
32_ServiceFacilityLocation,505,1924,697,2018
31_Signed,93,1973,245,2040
31_Date,339,2019,467,2051
32a_ServiceFacilityLocatio,539,2031,616,2059
32b_ServiceFacilityLocatio,767,2035,901,2062
33a_BillingProviderInfo,1059,2034,1106,2058
33b_BillingProviderInfo,1275,2032,1403,2059
